use_case_key,pct_abstract_missing
synergy_brouwer_2019,0.011176995329800099
synergy_bos_2018,0.012712733237646101
synergy_leenaars_2019,0.008430832759807272
synergy_wolters_2018,0.08859280037400652
synergy_chou_2004,0.11595092024539877
synergy_chou_2003,0.057157839538542254
synergy_van_dis_2020,0.01818580192813324
synergy_radjenovic_2013,0.0
synergy_van_de_schoot_2018,0.015625
synergy_appenzeller-herzog_2019,0.23196057726152763
synergy_smid_2020,0.041872858774267274
synergy_hall_2012,0.0
synergy_wassenaar_2017,0.055946791862284795
synergy_walker_2018,0.03131787435616329
synergy_van_der_waal_2022,0.006598984771573613
synergy_oud_2018,0.01575630252100846
synergy_moran_2021,0.008247027234368987
nykvist_evcharging,0.0
synergy_meijboom_2021,0.06575963718820865
synergy_donners_2021,0.03100775193798455
synergy_menon_2022,0.006153846153846176
synergy_leenaars_2020,0.051872399445214934
synergy_jeyaraman_2020,0.0017021276595744483
synergy_van_der_valk_2021,0.01379310344827589
synergy_muthu_2021,0.008826774549466676
synergy_sep_2021,0.0036900369003689537
synergy_nelson_2002,0.021857923497267784
roadfreight_metareview,0.06060606060606055
