,nykvist_evcharging,roadfreight_metareview,synergy_appenzeller-herzog_2019,synergy_bos_2018,synergy_brouwer_2019,synergy_chou_2003,synergy_chou_2004,synergy_donners_2021,synergy_hall_2012,synergy_jeyaraman_2020,synergy_leenaars_2019,synergy_leenaars_2020,synergy_meijboom_2021,synergy_menon_2022,synergy_moran_2021,synergy_muthu_2021,synergy_nelson_2002,synergy_oud_2018,synergy_radjenovic_2013,synergy_sep_2021,synergy_smid_2020,synergy_van_de_schoot_2018,synergy_van_der_valk_2021,synergy_van_der_waal_2022,synergy_van_dis_2020,synergy_walker_2018,synergy_wassenaar_2017,synergy_wolters_2018,carbon_capture,cement_binders,ner,soil_microbiome,solar_leo,tech_forecasting
nykvist_evcharging,0.8592035199095129,0.48459993304318716,0.611545293072824,0.6426751592356688,0.5659924619281593,0.540662438336857,0.4958530399616149,0.736076817558299,0.7129139849677311,0.47206132221192465,0.835212911739329,0.4727115724812158,0.4834159603390373,0.6367999520052794,0.5141172918950697,0.395316902463881,0.5463723776223777,0.519420600858369,0.591897401053168,0.4675324675324675,0.5258119658119658,0.7103335903006517,0.6076602360257226,0.5043100076657124,0.4327210934432666,0.6490779408169878,0.6135502314541617,0.4728315270448956,0.537234531580399,0.4852941176470588,0.5405854789136897,0.3989159453118679,0.3815553121577218,0.40127388535031844
roadfreight_metareview,0.6853238531817782,0.7862403749581519,0.3782483945894248,0.43067598109718513,0.4265589024187614,0.5375264270613108,0.5848927273973541,0.48998628257887517,0.49197482227750383,0.5653382761816497,0.43839009287925695,0.4053194092748249,0.23572685111146646,0.5979692233854277,0.5636271191826747,0.5351310373079152,0.45856643356643356,0.6164163090128756,0.3485752505520639,0.43181818181818177,0.47381766381766377,0.6644006821314271,0.5428591618966858,0.3720686472364325,0.4901385208087947,0.4916728193505642,0.6243659300427858,0.46173428405481887,0.5708375471177715,0.6463554987212277,0.4669219529399909,0.5399644041744195,0.4113033953997809,0.5121138162985892
synergy_appenzeller-herzog_2019,0.48774125200130636,0.6396049548041512,0.8952862412897937,0.3973289500719129,0.6529379999525268,0.8400986610288936,0.6635136061416136,0.6765432098765432,0.6522659064953921,0.6985538307074451,0.2445109881743897,0.6599589474622916,0.6569006876699184,0.43394726580076187,0.5032369229900094,0.6559096676857902,0.5216346153846154,0.8188841201716739,0.6815971632410396,0.5410173160173161,0.5647150997150997,0.4075268063634452,0.4525121899512402,0.5080489979818839,0.7286329505300352,0.5216640286170314,0.4893976946378693,0.4666773767007328,0.6375838926174496,0.41975703324808183,0.47750289716329924,0.429738694280398,0.41362541073384446,0.47062325138401095
synergy_bos_2018,0.6427753837330635,0.5987612989621693,0.5601858177346632,0.9799260324635298,0.708515596653815,0.5903453136011276,0.46445952429912946,0.6126200274348422,0.6125527855732713,0.6453892493049119,0.4671572856925341,0.3757927422348591,0.5495282264513035,0.6501334853166151,0.4907729599087624,0.6224984013748176,0.48164335664335667,0.5564914163090129,0.7207653870109281,0.541883116883117,0.6267094017094017,0.4649940430303455,0.7451063529079216,0.3541246225809984,0.4396900765606596,0.4805602841350902,0.6311849761631422,0.9483323241185847,0.4893352946584536,0.5141304347826088,0.5002771199677534,0.42658360974031223,0.4116100766703176,0.5178879695219953
synergy_brouwer_2019,0.6031705272297141,0.6319049213257448,0.6824566197567974,0.817402917608383,0.9933927426984466,0.7200493305144468,0.5405442456645417,0.4444444444444445,0.9569946970971254,0.6143709453197406,0.6467847535908237,0.3817985812558198,0.6434351511274587,0.4667336592974773,0.5015844768931189,0.5839053414063905,0.41573426573426575,0.6008047210300429,0.893996659305815,0.4843073593073593,0.5630484330484331,0.6982094050038544,0.727192424563635,0.5990988876894917,0.7226102399882214,0.5728645624211213,0.7082831143966516,0.8265221635916511,0.5531396524777052,0.41138107416879793,0.4986144001612335,0.4599951460237845,0.31299014238773276,0.5595571164950295
synergy_chou_2003,0.5986664927554702,0.6596919986608636,0.7388850935920208,0.34187384425724265,0.5731049701088154,0.8959478505990134,0.6656384947563232,0.5138545953360768,0.3795066928123091,0.7547497683039851,0.4137237984063341,0.5499106155910466,0.44023668639053254,0.377928427872934,0.5311166545734447,0.6292894360849669,0.5280157342657343,0.7875536480686696,0.35439315440801766,0.4805194805194805,0.6268945868945869,0.6880767164248839,0.5513921277648224,0.5003519969962923,0.7239920740086375,0.4637904321202729,0.5303107792190761,0.213838187862236,0.5893169072354509,0.574616368286445,0.410137552274903,0.45190518566459026,0.4380722891566265,0.4306208702898982
synergy_chou_2004,0.5779292752284079,0.6168396384332107,0.6774149473971853,0.3140949250051366,0.4831770955195437,0.8427061310782241,0.7920350949345396,0.6707818930041152,0.40178674185752106,0.8055491195551436,0.35100238542353956,0.5785325506494369,0.6232208539900848,0.37236403995560485,0.48957599574883526,0.6251086565553624,0.5542395104895105,0.7569742489270387,0.3461582016873337,0.479004329004329,0.6331908831908832,0.48728595790408114,0.4591018302593457,0.4379937735642434,0.7401369871417353,0.4644418423430748,0.5840459355743198,0.21108241371213898,0.6522018939045693,0.43663682864450126,0.4119010429787877,0.4110508858506593,0.4518729463307777,0.3970474433001965
synergy_donners_2021,0.7035250870219766,0.594743890190827,0.762084984287471,0.5839942469693856,0.5298918203612714,0.5416490486257928,0.593392281856193,0.8559670781893004,0.7847709747957187,0.7694624652455977,0.2665177891691621,0.5946877197021073,0.581608827762674,0.43139754626991034,0.4586650142205697,0.4331449953040385,0.5210664335664337,0.6957081545064377,0.6462579978483665,0.4262987012987013,0.6151709401709402,0.6054558833835587,0.6089322309377428,0.5525101296913377,0.5350703646446799,0.4699038771033883,0.720643231560262,0.2619962679650523,0.6326192884067299,0.38510230179028127,0.46727465108076793,0.44191408462098536,0.5168017524644031,0.5021727483778797
synergy_hall_2012,0.6669382203707097,0.6386006026113157,0.6453613881677824,0.7569139100061639,0.8213137031498493,0.3992248062015504,0.3666461032284598,0.42935528120713307,0.9938870543658206,0.5238550355267223,0.6963609602598589,0.5345617986382876,0.28152886614425077,0.43777184509703937,0.5091246449271141,0.44355729072997224,0.49370629370629365,0.5456545064377682,0.9428932393409206,0.5670995670995671,0.7744301994301994,0.7229775504006354,0.6627976821426047,0.478684626335633,0.4913501177856302,0.45669360850900975,0.34290741714322504,0.5669727264863262,0.5431644754987588,0.4474424552429668,0.5185166523907896,0.47419302645417044,0.36407447973713036,0.45425322935889045
synergy_jeyaraman_2020,0.525023298790056,0.541513223970539,0.6462904768410985,0.5714814053831929,0.4749078510561099,0.7766737138830162,0.604496538487902,0.7212620027434843,0.8025808493497526,0.8146335341365462,0.2601431254123737,0.7959274617523906,0.7924836078682232,0.3603353631100579,0.4928702953394311,0.7239923665647543,0.6502185314685314,0.8609442060085838,0.7759151520298962,0.5114718614718614,0.7177492877492877,0.5584483846099937,0.5338845311285422,0.5377888330908466,0.6105865969768355,0.43128545743338237,0.616295135945791,0.4593245263899358,0.5689528362599982,0.5181585677749361,0.3859021514586588,0.4544939729795324,0.34396495071193867,0.4883624025239598
